Name,cost ,cuisines,location,food,ratings,address,name,cost
The Belgian Fries Company,400,"European, American, Street Food",New Delhi,"French, Japanese, Desserts",4.8,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",The Belgian Fries Company,400
Al-Sameer,400,"North Indian, Mughlai",New Delhi,Japanese,4.5,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",Al-Sameer,400
Allure,600,"North Indian, Chinese, Finger Food",New Delhi,"Seafood, Asian, Filipino, Indian",4.4,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",Allure,600
BarShala,600,Finger Food,New Delhi,"Japanese, Sushi",4.9,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",BarShala,600
Bikaner House,500,"North Indian, Street Food, Fast Food, Chinese, South Indian, Mithai",New Delhi,"Japanese, Korean",4.8,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",Bikaner House,500
Cafe Coffee Day,450,Cafe,New Delhi,Chinese,4.4,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",Cafe Coffee Day,450
Cafe CoffeeCo,350,Cafe,New Delhi,"Asian, European",4,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",Cafe CoffeeCo,350
Cafe Festa,600,"Cafe, North Indian, Fast Food",New Delhi,"Seafood, Filipino, Asian, European",4.2,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",Cafe Festa,600
Cheers Lounge Bar,1100,"North Indian, Chinese",New Delhi,"European, Asian, Indian",4.9,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",Cheers Lounge Bar,1100
Chowmein Hut,200,Chinese,New Delhi,Filipino,4.8,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Chowmein Hut,200
Club India Cafe & Restaurant,900,"North Indian, Fast Food, Chinese, Japanese, Asian, Italian",New Delhi,"Filipino, Mexican",4.9,"75 East Capitol Drive, Kapitolyo, Pasig City",Club India Cafe & Restaurant,900
Domino's Pizza,700,"Pizza, Fast Food",New Delhi,"American, Ice Cream, Desserts",4.2,"23 East Capitol Drive, Kapitolyo, Pasig City",Domino's Pizza,700
Everest Bakery Cafe,700,"Cafe, Fast Food, Asian, Italian",New Delhi,"Filipino, Mexican",4.8,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",Everest Bakery Cafe,700
Everest Kitchen,550,"North Indian, Chinese, Tibetan, Italian, Fast Food",New Delhi,Filipino,4.2,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Everest Kitchen,550
Exotic Rooftop Restaurant,600,"Chinese, Thai, Seafood, North Indian, Italian",New Delhi,Korean,4.3,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Exotic Rooftop Restaurant,600
Flavours,500,"North Indian, Chinese, South Indian",New Delhi,"Cafe, American, Italian, Filipino",3.6,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",Flavours,500
Gagan Assam Bengal Restaurant,300,"North Indian, Bengali",New Delhi,"Italian, Pizza",4,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",Gagan Assam Bengal Restaurant,300
Gold Resto Bar,850,"North Indian, Chinese",New Delhi,Filipino,4.5,"Aguinaldo Highway, Tagaytay City",Gold Resto Bar,850
Grand Madras Cafe,250,South Indian,New Delhi,"Cafe, Korean, Desserts",4.5,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",Grand Madras Cafe,250
Green Chilli,800,"North Indian, Chinese, Continental",New Delhi,"Cafe, Bakery, American, Italian",4.4,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Green Chilli,800
Gurdev Punjabi Restaurant,200,North Indian,New Delhi,"Seafood, American, Mediterranean, Japanese",4.7,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",Gurdev Punjabi Restaurant,200
Haji Irshad Biryani Centre,200,Biryani,New Delhi,"American, Asian, Italian, Seafood",4.5,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",Haji Irshad Biryani Centre,200
Hungerzz Grill,250,Fast Food,New Delhi,"Fast Food, French",3,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Hungerzz Grill,250
Janta Sweets,200,"Street Food, Mithai",New Delhi,Cafe,3.8,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Janta Sweets,200
Khosla Cafe,400,"North Indian, Chinese, Fast Food",New Delhi,Bakery,3.7,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Khosla Cafe,400
King Bar & Restaurant,900,"North Indian, Chinese, Continental",New Delhi,Brazilian,3.8,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",King Bar & Restaurant,900
Le Fairway Restaurant & Bar,1000,"North Indian, Continental",New Delhi,Pizza,3.2,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Le Fairway Restaurant & Bar,1000
Madan Cafe & Restaurant,300,"North Indian, Chinese, Fast Food",New Delhi,Japanese,3.1,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Madan Cafe & Restaurant,300
Malhotra Restaurant,800,"North Indian, Chinese, Continental, Italian",New Delhi,Arabian,3.7,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Malhotra Restaurant,800
Metropolis Bar,700,"Chinese, Continental, North Indian",New Delhi,Japanese,3.7,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Metropolis Bar,700
Mikky Restaurant,800,North Indian,New Delhi,"Brazilian, Cafe",0,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Mikky Restaurant,800
Mourya Sweets Chat Bhandar,200,"Fast Food, Chinese, Mithai, Street Food",New Delhi,Italian,4.1,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Mourya Sweets Chat Bhandar,200
My Bar & Restaurant,700,"North Indian, Chinese, Italian, Continental",New Delhi,Pizza,3.1,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",My Bar & Restaurant,700
My Love Restaurant & Bar,1000,"North Indian, Mughlai, Chinese",New Delhi,"Bar Food, Brazilian",3.6,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",My Love Restaurant & Bar,1000
Organic German Bakeshop - Brown Bread Bakery,600,"Fast Food, Continental, Italian, Bakery",New Delhi,"Mexican, Grill",4.3,"Vila Malls, Avenida das Castanheiras, Lote 1060, í€guas Claras, Brasí_lia",Organic German Bakeshop - Brown Bread Bakery,600
Paankhuri Restaurant,500,North Indian,New Delhi,International,4.2,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia",Paankhuri Restaurant,500
Pardeep Corner,300,North Indian,New Delhi,"Peruvian, Latin American",3.6,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Pardeep Corner,300
Pehalwan Da Hotel,350,Mughlai,New Delhi,"American, Grill",4,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia",Pehalwan Da Hotel,350
Pizza Hut Delivery,800,"Italian, Pizza, Fast Food",New Delhi,Seafood,3.2,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia",Pizza Hut Delivery,800
Re Cafe,1300,"Continental, Fast Food",New Delhi,International,4.9,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Re Cafe,1300
Rumi Amritsari Naan,200,"North Indian, Chinese",New Delhi,Italian,3.3,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia",Rumi Amritsari Naan,200
Sagar Bar-Be Que,500,"North Indian, Mughlai",New Delhi,"American, Burger",3.6,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sagar Bar-Be Que,500
Satyam Rooftop Restaurant,600,"North Indian, Chinese, Fast Food",New Delhi,"Seafood, Bar Food, Brazilian",4,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Satyam Rooftop Restaurant,600
Sethi Restaurant,800,"North Indian, Mughlai",New Delhi,"Desserts, Cafe",4.8,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Sethi Restaurant,800
Shri Bankey Bihari Samosa Wala,100,Street Food,New Delhi,"Juices, Healthy Food",4.7,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Shri Bankey Bihari Samosa Wala,100
Sonu South Indian Restaurant,300,"South Indian, North Indian",New Delhi,"Beverages, Bar Food, Fast Food",4.5,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Sonu South Indian Restaurant,300
Southern Welcome Restaurant,250,"South Indian, North Indian",New Delhi,Lebanese,4.2,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Southern Welcome Restaurant,250
Swagat Dhaba,200,North Indian,New Delhi,Burger,4.8,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro",Swagat Dhaba,200
Tadka 4986,600,"Chinese, Italian, North Indian",New Delhi,"Brazilian, Bar Food",4.9,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Tadka 4986,600
The Drunkyard Cafe,850,"North Indian, Chinese, Continental, Thai",New Delhi,"Brazilian, Healthy Food, Juices, Pizza",4.6,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",The Drunkyard Cafe,850
The Gem Bar & Restaurant,1400,"Continental, North Indian, Chinese",New Delhi,"Brazilian, Bar Food",4.9,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",The Gem Bar & Restaurant,1400
