name,,location,address,,,,,food,cost ,,tablebooking,onlinedelivery,,,,rating,,Rating text,cuisines,food,cost
Le Petit Souffle,,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",,,,,"French, Japanese, Desserts",1100,,Yes,No,,,,4.8,,Excellent,"European, American, Street Food","French, Japanese, Desserts",1100
Izakaya Kikufuji,,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",,,,,Japanese,1200,,Yes,No,,,,4.5,,Excellent,"North Indian, Mughlai",Japanese,1200
Heat - Edsa Shangri-La,,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",,,,,"Seafood, Asian, Filipino, Indian",4000,,Yes,No,,,,4.4,,Very Good,"North Indian, Chinese, Finger Food","Seafood, Asian, Filipino, Indian",4000
Ooma,,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",,,,,"Japanese, Sushi",1500,,No,No,,,,4.9,,Excellent,Finger Food,"Japanese, Sushi",1500
Sambo Kojin,,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",,,,,"Japanese, Korean",1500,,Yes,No,,,,4.8,,Excellent,"North Indian, Street Food, Fast Food, Chinese, South Indian, Mithai","Japanese, Korean",1500
Din Tai Fung,,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",,,,,Chinese,1000,,No,No,,,,4.4,,Very Good,Cafe,Chinese,1000
Buffet 101,,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",,,,,"Asian, European",2000,,Yes,No,,,,4,,Very Good,Cafe,"Asian, European",2000
Vikings,,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",,,,,"Seafood, Filipino, Asian, European",2000,,Yes,No,,,,4.2,,Very Good,"Cafe, North Indian, Fast Food","Seafood, Filipino, Asian, European",2000
Spiral - Sofitel Philippine Plaza Manila,,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",,,,,"European, Asian, Indian",6000,,Yes,No,,,,4.9,,Excellent,"North Indian, Chinese","European, Asian, Indian",6000
Locavore,,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",,,,,Filipino,1100,,Yes,No,,,,4.8,,Excellent,Chinese,Filipino,1100
Silantro Fil-Mex,,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",,,,,"Filipino, Mexican",800,,No,No,,,,4.9,,Excellent,"North Indian, Fast Food, Chinese, Japanese, Asian, Italian","Filipino, Mexican",800
Mad Mark's Creamery & Good Eats,,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",,,,,"American, Ice Cream, Desserts",900,,Yes,No,,,,4.2,,Very Good,"Pizza, Fast Food","American, Ice Cream, Desserts",900
Silantro Fil-Mex,,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",,,,,"Filipino, Mexican",800,,No,No,,,,4.8,,Excellent,"Cafe, Fast Food, Asian, Italian","Filipino, Mexican",800
Guevarra's,,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",,,,,Filipino,1000,,Yes,No,,,,4.2,,Very Good,"North Indian, Chinese, Tibetan, Italian, Fast Food",Filipino,1000
Sodam Korean Restaurant,,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",,,,,Korean,700,,No,No,,,,4.3,,Very Good,"Chinese, Thai, Seafood, North Indian, Italian",Korean,700
Cafe Arabelle,,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",,,,,"Cafe, American, Italian, Filipino",800,,No,No,,,,3.6,,Good,"North Indian, Chinese, South Indian","Cafe, American, Italian, Filipino",800
Nonna's Pasta & Pizzeria,,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",,,,,"Italian, Pizza",850,,No,No,,,,4,,Very Good,"North Indian, Bengali","Italian, Pizza",850
Balay Dako,,Tagaytay City,"Aguinaldo Highway, Tagaytay City",,,,,Filipino,1200,,Yes,No,,,,4.5,,Excellent,"North Indian, Chinese",Filipino,1200
Hobing Korean Dessert Cafe,,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",,,,,"Cafe, Korean, Desserts",600,,No,No,,,,4.5,,Excellent,South Indian,"Cafe, Korean, Desserts",600
Wildflour Cafe + Bakery,,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",,,,,"Cafe, Bakery, American, Italian",1500,,Yes,No,,,,4.4,,Very Good,"North Indian, Chinese, Continental","Cafe, Bakery, American, Italian",1500
NIU by Vikings,,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",,,,,"Seafood, American, Mediterranean, Japanese",3000,,Yes,No,,,,4.7,,Excellent,North Indian,"Seafood, American, Mediterranean, Japanese",3000
The Food Hall by Todd English,,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",,,,,"American, Asian, Italian, Seafood",1800,,Yes,No,,,,4.5,,Excellent,Biryani,"American, Asian, Italian, Seafood",1800
Chez Michou,,BrasÌ_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, BrasÌ_lia",,,,,"Fast Food, French",55,,No,No,,,,3,,Average,Fast Food,"Fast Food, French",55
CafÌ© Daniel Briand,,BrasÌ_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, BrasÌ_lia",,,,,Cafe,30,,No,No,,,,3.8,,Good,"Street Food, Mithai",Cafe,30
Casa do Biscoito Mineiro,,BrasÌ_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, BrasÌ_lia",,,,,Bakery,45,,No,No,,,,3.7,,Good,"North Indian, Chinese, Fast Food",Bakery,45
Maori,,BrasÌ_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, BrasÌ_lia",,,,,Brazilian,60,,No,No,,,,3.8,,Good,"North Indian, Chinese, Continental",Brazilian,60
Pizza ÌÊ Bessa,,BrasÌ_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, BrasÌ_lia",,,,,Pizza,50,,No,No,,,,3.2,,Average,"North Indian, Continental",Pizza,50
Sushi Loko,,BrasÌ_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, BrasÌ_lia",,,,,Japanese,80,,No,No,,,,3.1,,Average,"North Indian, Chinese, Fast Food",Japanese,80
Beirute,,BrasÌ_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, BrasÌ_lia",,,,,Arabian,90,,No,No,,,,3.7,,Good,"North Indian, Chinese, Continental, Italian",Arabian,90
New Koto,,BrasÌ_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, BrasÌ_lia",,,,,Japanese,200,,No,No,,,,3.7,,Good,"Chinese, Continental, North Indian",Japanese,200
Sandubas CafÌ©,,BrasÌ_lia,"EdifÌ_cio JosÌ© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, BrasÌ_lia",,,,,"Brazilian, Cafe",30,,No,No,,,,0,,Not rated,North Indian,"Brazilian, Cafe",30
Villa Tevere,,BrasÌ_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, BrasÌ_lia",,,,,Italian,150,,No,No,,,,4.1,,Very Good,"Fast Food, Chinese, Mithai, Street Food",Italian,150
Rovereto,,BrasÌ_lia,"Rua 13 Norte, Lote 4, ÌÅguas Claras, BrasÌ_lia",,,,,Pizza,100,,No,No,,,,3.1,,Average,"North Indian, Chinese, Italian, Continental",Pizza,100
Buena Carne,,BrasÌ_lia,"Avenida AraucÌÁrias, 1325, Loja 19, ÌÅguas Claras, BrasÌ_lia",,,,,"Bar Food, Brazilian",60,,No,No,,,,3.6,,Good,"North Indian, Mughlai, Chinese","Bar Food, Brazilian",60
Taco Pep,,BrasÌ_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, ÌÄguas Claras, BrasÌ_lia",,,,,"Mexican, Grill",100,,No,No,,,,4.3,,Very Good,"Fast Food, Continental, Italian, Bakery","Mexican, Grill",100
Coco Bambu,,BrasÌ_lia,"BrasÌ_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, BrasÌ_lia",,,,,International,230,,No,No,,,,4.2,,Very Good,North Indian,International,230
TaypÌÁ,,BrasÌ_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, BrasÌ_lia",,,,,"Peruvian, Latin American",100,,No,No,,,,3.6,,Good,North Indian,"Peruvian, Latin American",100
Outback Steakhouse,,BrasÌ_lia,"ParkShopping - Piso 2, SAI/SO, ÌÅrea 6580, GuarÌÁ I, BrasÌ_lia",,,,,"American, Grill",150,,No,No,,,,4,,Very Good,Mughlai,"American, Grill",150
ManzuÌÁ,,BrasÌ_lia,"PontÌ£o Lago Sul, SHIS 10, Lote 9, Lago Sul, BrasÌ_lia",,,,,Seafood,240,,No,No,,,,3.2,,Average,"Italian, Pizza, Fast Food",Seafood,240
Coco Bambu,,BrasÌ_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, BrasÌ_lia",,,,,International,230,,No,No,,,,4.9,,Excellent,"Continental, Fast Food",International,230
Gero,,BrasÌ_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, BrasÌ_lia",,,,,Italian,350,,No,No,,,,3.3,,Average,"North Indian, Chinese",Italian,350
Brazilian American Burgers,,BrasÌ_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, BrasÌ_lia",,,,,"American, Burger",50,,No,No,,,,3.6,,Good,"North Indian, Mughlai","American, Burger",50
Pesqueiro Eco Gourmet,,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida LÌ_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",,,,,"Seafood, Bar Food, Brazilian",140,,No,No,,,,4,,Very Good,"North Indian, Chinese, Fast Food","Seafood, Bar Food, Brazilian",140
Confeitaria Colombo,,Rio de Janeiro,"Rua GonÌ_alves Dias, 32, Centro, Rio de Janeiro",,,,,"Desserts, Cafe",100,,No,No,,,,4.8,,Excellent,"North Indian, Mughlai","Desserts, Cafe",100
Bibi,,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",,,,,"Juices, Healthy Food",60,,No,No,,,,4.7,,Excellent,Street Food,"Juices, Healthy Food",60
Cervantes,,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",,,,,"Beverages, Bar Food, Fast Food",90,,No,No,,,,4.5,,Excellent,"South Indian, North Indian","Beverages, Bar Food, Fast Food",90
Amir,,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",,,,,Lebanese,170,,No,No,,,,4.2,,Very Good,"South Indian, North Indian",Lebanese,170
TT Burger,,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro",,,,,Burger,60,,No,No,,,,4.8,,Excellent,North Indian,Burger,60
Braseiro da GÌÁvea,,Rio de Janeiro,"PraÌ_a Santos Dumont, 116, GÌÁvea, Rio de Janeiro",,,,,"Brazilian, Bar Food",100,,No,No,,,,4.9,,Excellent,"Chinese, Italian, North Indian","Brazilian, Bar Food",100
